,id,prompt,A,B,C,D,E,answer,context
533,533,What is the basis for the 1916 silent drama film Barriers of Society?,A screenplay written specifically for the film Barriers of Society.,A story written by Fred Myton and adapted for the screen.,A storyline inspired by true events that occurred in 1916.,A novel published in 1916 written by Clarke Irvine.,"An original script created by the director, Lloyd B. Carleton.",B,The Silent Barrier is a 1920 American silent drama film directed by William Worthington and starring Sheldon Lewis Corinne Barker and Gladys Hulette.Munden p.410 It is based on the 1909 novel of the same title by the British writer Louis Tracy. Much of the film takes place in the resort town St. Moritz. Cast  Sheldon Lewis as Mark Bower  Corinne Barker as Millicent Jacques  Florence Dixon as Helen Wynton  Donald Cameron as Charles K. Spencer  Gladys Hulette as Etta Stampa  Adolph Milar as Stampa  Ernest Des Baillets as Barth  Fuller Mellish as McKenzie  Joseph Burke as Professor Lammenois  Mathilde Brundage as Lady Lavasour  John Raymond as Sir George Lavasour  Robert Lee Keeling as Delavere References Bibliography  Munden Kenneth White. The American Film Institute Catalog of Motion Pictures Produced in the United States Part 1. University of California Press 1997. External links  Category1920 films Category1920 drama films Category1920s Englishlanguage films CategoryAmerican silent feature films CategorySilent American drama films CategoryAmerican blackandwhite films CategoryFilms directed by William Worthington CategoryFilms
534,534,How does the North Shore Branch of the Staten Island Railway connect with New Jersey?,The North Shore Branch does not have a direct connection with New Jersey.,The North Shore Branch connects with New Jersey via a ferry service from Port Ivory to a port in New Jersey.,The North Shore Branch connects with New Jersey via a tunnel that goes under the Arthur Kill Vertical Lift Bridge.,The North Shore Branch connects with New Jersey via the Arthur Kill Vertical Lift Bridge to Aldene Junction in Cranford.,The North Shore Branch connects with New Jersey via a bridge that is adjacent to the Arthur Kill Vertical Lift Bridge.,D,The North Shore Branch is an abandoned branch of the Staten Island Railway in New York City which operated along Staten Islands North Shore from Saint George to Port Ivory. The line continues into New Jersey via the Arthur Kill Vertical Lift Bridge to Aldene Junction in Cranford . The line started construction in 1884 and rapid transit service on the line started on February 23 1886. Passenger service on the North Shore Branch ended on March 31 1953 although freight service continued to run along part of the North Shore Branch until 1989. In 2005 freight service on the western portion of the line was reactivated and there are proposals to reactivate the former passenger line for rail or bus service.  Operation  Trains on the branch used tracks 10 through 12 at the Saint George Terminal. Trains originally consisted of two and three cars during the AM and PM rush hours and one car at other times by the end of passenger service trains used only one car. The fares on the branch were collected by the conductor on the train who had to pull a cord similar to how it was done with trolleys. The Baltimore  Ohio Railroad which owned the branch wanted to reduce service on
535,535,What is Hoài Linh known for in the Vietnamese entertainment industry?,Hoài Linh gained fame through his exceptional skills in martial arts.,Hoài Linh has made significant contributions as a television presenter in various shows.,Hoài Linh is widely acknowledged as a renowned film director in Vietnam.,Hoài Linh is celebrated for his comedy performances alongside other artists such as Vân Sơn and Chí Tài.,Hoài Linh is primarily recognized for his achievements in the field of music.,D,V Nguyn Hoi Linh born December 18 1969 better known by his stage name Hoi Linh is a Vietnamese American comedian and actor. A frequent collaborator of Thy Nga center he is known for his comedy performances alongside other artists such as Vn Sn and Ch Ti. Biography Hoi Linh was born on December 18 1969 in Cam Ranh Khnh Ha in a Catholic family with 6 children 3 boys 3 girls. He is the third child and the eldest son in the family. His parents are from i Lc Qung Nam. With the exception of his eldest sister  who were married and remained in Vietnam his family moved to the United States under the HO status in 1995  due to the fact that his father previously served in the Republic of Vietnams Special Forces as a captain. His mother Nguyn Th L PhngHoi Linh ci u cm n dng ngi v thp hng nh th t VnExpress. ran a private maternity home in Cam Ranh. Hoi Linh lived in Cam Ranh until 1975. He then moved with his family to Du Giy. In 1988 his family returned to Cam Ranh. Later they moved to Ho Chi Minh City in 1992 and migrated to the United States at the end of 1993. During this time Hoi Linh joined the Ponaga music and dance
536,536,In which Louisiana parish is St. Elizabeth of Hungary Catholic Church located?,Ascension Parish,Iberville Parish,Lafayette Parish,Lafourche Parish,Assumption Parish,E,St. Elizabeth of Hungary Catholic Church is a historic Roman Catholic church is located at 114 Louisiana Highway 403 in Paincourtville Louisiana in Assumption Parish. In 2000 the ecclesiastical parish of St. Elizabeth was clustered with St. Jules in Bell Rose also in the Diocese of Baton Rouge. History Antoine Blanc Bishop of New Orleans blessed the first church in 1840 but the first permanent pastor was not installed until 1844. The first church was destroyed by fire in 1854 and replaced with a larger wooden church which was replaced by the current church in 1902. In 1876 Fr. Jean Baptiste La Saichere pastor wrote to the Sisters of Mount Carmel asking for sisters to come to Paincourtville to teach girls. The parish acquired land and built a convent and school for boarding and day students. The school was quickly oversubscribed and moved to a new building the following year. In 1964 the sisters sold the school to the diocese which continues to operate it as an interparochial school. Architecture The church was modeled after that of Ploubalay France from which the La Saicherre brothers past parish priests had originated. It is a brick Basilica plan
537,537,What genre of music is Diane Shaw known for?,Hip-hop,Rock,Pop,Soul,Jazz,D,Diane Arkenstone a multifaceted artist and a pioneer in the New Age music genre has garnered worldwide acclaim with her extensive repertoire of recordings within the world meditative trance Celtic and Native American traditions. About Diane grew up in California on a working cattle ranch. She wrote her first song at the age of three and started playing guitar at the age of seven. Since childhood Diane has endured a lifetime of medical ailments resulting from complete AV block in her heart. She has had multiple heart surgeries and over 30 major surgeries total. In 2004 she was an official spokesperson for the American Heart Association. Diane found healing through the vibrations of her guitar and her voice and this started her journey to make healing music to help others. In 2021 she released The Healing Heart album. The song Safe in the Angels Wing was written after her recovery from her 3rd of 6 different pacemaker implants. Minutes after the pacemaker was in she went into cardiac arrest. While unconscious she had a vision of being protected in an Angels wing during the procedure. The image stayed with her and inspired the song and album. Diane strongly
538,538,Which of the following is true about radium sulfate (RaSO4) based on the provided Wikipedia excerpt?,"Radium sulfate is highly soluble in water and other solvents, making it suitable for various industrial applications.",Radium sulfate is often used as a catalyst in chemical reactions and is known for its high reactivity.,"Radium sulfate has a molecular mass of 322.088 g/mol, which makes it considerably heavier than other sulfate salts.",Radium sulfate is the least soluble among all known sulfate salts and has been phased out of use in radiotherapy and smoke detectors due to safety concerns.,Radium sulfate is widely used in the manufacturing of pharmaceuticals and cosmetics due to its unique properties.,D,Radium sulfate or radium sulphate is an inorganic compound with the formula RaSO4 and an average molecular mass of 322.088 gmol. This salt is the least soluble of all known sulfate salts. It was formerly used in radiotherapy and smoke detectors but this has been phased out in favor of less hazardous alternatives. Properties Radium sulfate crystallises in a solid in the same structure as barium sulfate. It forms crystals in the orthorhombic crystal system with a unit cell of dimensions a  9.07 b5.52 and c  7.28 . The unit cell volume is 364 3. Distance from the radium ion to oxygen is 2.96  and the sulfur to oxygen bond length in the sulfate ion is 1.485 . In this compound the ionic radius of the radium ion is 1.66  and it is in ten coordination. Radium sulfate can form solid solutions with the sulfates of strontium barium or lead.  References  CategoryRadium compounds CategorySulfates
539,539,What is the purpose of a sacred way in Chinese tombs?,"The sacred way is an ordinary road leading to a Chinese tomb, devoid of any decorative elements. Its purpose is purely functional, providing access to the burial site.",The sacred way is an architectural feature serving as a protective barrier around the tomb of a major dignitary. It is lined with pillars and statues to ward off evil spirits.,"The sacred way is a means of transportation for mourners to reach the tomb of a major dignitary. It is left undecorated, emphasizing the solemnity of the funeral procession.",The sacred way is a symbolic representation of the deceased's spiritual journey to the afterlife. Statues and stelae along the road depict mythological creatures and deities.,The sacred way serves as a ceremonial road used for processions during the burial rites of major dignitaries. It is decorated with statues and stelae representing various animals and officials.,E,grave robbers the Chinese started to manufacture clay imitations of real money. This was done as the contemporary Chinese believed that if the grave was robbed then the spirit of the deceased person who laid inside of the tomb was disturbed by these robbers and the money that was formerly located in the grave that was meant to ensure his or her comfort in the afterlife was now gone making their afterlife less comfortable.Poo Muchou In Search of Personal Welfare A View of Ancient Chinese Religion Albany SUNY Press 1998 p. 170. Also see Anna Seidel Tokens of Immortality in Han Graves Numen 29 1982 p. 111. Chinese burial money has been discovered made from stones and bones along with cowrie shells in the earliest forms later forms include thin metallic imitations of circulation currency during the Spring and Autumn period. The imitation metal money found in these ancient tombs ended to be thin and fragile and were typically made of lead and bronze. Initially archaeologists believed that imitations of currencies were only used by the poor but the discovery of imitation money in the tombs of the wealthy had changed this view. The Chinese custom of burying the
540,540,What is the membership criteria for The Yale Club of New York City?,The Yale Club membership is open to anyone who has graduated from an Ivy League university.,The Yale Club membership is restricted almost entirely to alumni and faculty of Yale University.,The Yale Club membership is open to anyone who resides in Midtown Manhattan.,The Yale Club membership is open to anyone who has completed a graduate degree program.,The Yale Club membership is restricted solely to alumni and faculty of Columbia University.,B,The Yale Club of New York City commonly called The Yale Club is a private club in Midtown Manhattan New York City. Its membership is restricted almost entirely to alumni and faculty of Yale University. The Yale Club has a worldwide membership of over 11000. The 22story clubhouse at 50 Vanderbilt Avenue opened in 1915 was the worlds largest clubhouse upon its completion and is still the largest college clubhouse ever built. Clubhouse thumbYale Club exterior The club is located at 50 Vanderbilt Avenue at the intersection of East 44th Street across Vanderbilt Avenue from Grand Central Terminal and the MetLife Building. The clubhouse stands on Clubhouse Row a block from the Harvard Club of New York at 27 West 44th Penn Club of New York at 30 West 44th New York Yacht Club at 37 West 44th and Cornell Club of New York at 6 East 44th and two blocks away from the Princeton Club of New York at 15 West 43rd and Fifth Avenue for interclub events. The Yale Club shares its facility with the similar Dartmouth and University of Virginia club Columbia University shares a clubhouse with the Penn Club while Brown shares the Cornell Club. The neighborhood is also home to the
541,541,What is the executive producer role of Angela Kang in The Walking Dead?,Creative consultant,Special effects coordinator,Costume designer,Showrunner,Set designer,D,Angela Kang born March 23 1976 is an American television writer known for serving as showrunner on the AMC horror drama series The Walking Dead for the final three seasons.  Early life  Kang was born and raised in Irvine California the daughter of workingclass Korean immigrants. She received a Bachelor of Arts in English and Theater from Occidental College in Los Angeles California in 1998 after which she had several short stories and poems published and also wrote a number of plays. She eventually returned to school where she received a Master of Fine Arts degree in screenwriting from the University of Southern California where she was the recipient of the Annenberg Graduation Fellowship.  Television career  Her first job in the television industry came when she worked as an intern for the ABC medical drama series Greys Anatomy and Private Practice. Her first job as a staff writer was for the unaired NBC postapocalyptic series Day One which she got coming out of graduate school. Shortly thereafter she was hired as a staff writer on the shortlived FX series Terriers of which she wrote two episodes. In 2011 she joined the writing staff of the acclaimed AMC
542,542,What is one of the examples of the models proposed by cosmologists and theoretical physicists without the cosmological or Copernican principles that can be used to address specific issues in the Lambda-CDM model and distinguish between current models and other possible models?,"Inhomogeneous cosmology, which models the universe as an extremely large, low-density void, instead of using the concept of dark energy. According to the model, this theory can match the observed accelerating universe and cosmological constant, but it contradicts the Copernican principle.","Inhomogeneous cosmology, which states that the universe is entirely homogeneous and isotropic, directly proportional to the density of matter and radiation. This model proposes that everything in the universe is completely uniform, but it does not match observations.","The Copernican principle, which proposes that Earth, the Solar System, and the Milky Way are not at the centre of the universe, but instead, the universe is expanding equally in all directions. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.","The cosmological principle, which proposes that Earth, the Solar System, and the Milky Way are at the centre of the universe. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.","The Slade Box, a four disc box set released by the British rock band Slade on 2 October 2006.",A,model wherein the Universe is governed by general relativity began with a Big Bang and today is a nearlyflat universe that consists of approximately 5 baryons 27 cold dark matter and 68 dark energy.See the Planck Collaborations 2015 data release. LambdaCDM has been a successful model but recent observational evidence seem to indicate significant tensions in LambdaCDM such as the Hubble tension the KBC void the dwarf galaxy problem et cetera. Research on extensions or modifications to LambdaCDM as well as fundamentally different models is ongoing. Topics investigated include quintessence Modified Newtonian Dynamics MOND and its relativistic generalization TeVeS and warm dark matter. History Modern physical cosmology as it is currently studied first emerged as a scientific discipline in the period after the ShapleyCurtis debate and discoveries by Edwin Hubble of a cosmic distance ladder when astronomers and physicists had to come to terms with a universe that was of a much larger scale than the previously assumed galactic size. Theorists who successfully developed cosmologies applicable to the largerscale universe are remembered today as the founders of
543,543,What can be inferred about the Gregory district based on the provided Wikipedia excerpt?,"Gregory is a local government area in Queensland, Australia.","Gregory is a suburb in Queensland, Australia.","Gregory is a river in Queensland, Australia.","Gregory is an electoral district in the Legislative Assembly of Queensland, Australia.","Gregory is a federal electoral district in Queensland, Australia.",D,Justice Gregory may refer to George Gregory Jr. associate justice and Chief Justice on the South Carolina Supreme Court Hardy Gregory Jr. associate justice of the Supreme Court of Georgia Herbert B. Gregory associate justice of the Supreme Court of Appeals of Virginia Robert Gregory Indiana judge associate justice of the Supreme Court of Indiana
544,544,What neighborhood in Trondheim is situated east of Elgeseter and north of Lerkendal?,Lerkendal.,Gløshaugen.,Midtbyen.,Singsaker.,None of the above.,B,Lerkendal  is a borough in the city of Trondheim in Trndelag county Norway. The borough was established on 1 January 2005 in a municipal borough reform that reduced the number of boroughs in the city. The borough of stbyen lies to the east Midtbyen lies to the northwest and Heimdal lies to the southwest. The boroughs oversee health welfare and education for their residents. The borough is located south of Glshaugen and Elgeseter west of Berg north of Tempe and mostly east of the river Nidelva. The area is dominated by the Norwegian University of Science and Technology SINTEF and Lerkendal Stadion the home stadium of Rosenborg. The area also has a railway line StavneLeangen Line running through it with one station Lerkendal Station that is served by the local tran service Trndelag Commuter Rail. The borough of Lerkendal consists of the neighborhoods and villages of Bratsberg Dragvoll Elgeseter Flatsen Glshaugen Lerkendal Moholt Nardo Risvollan Sjetnemarka Valentinlyst Fossegrenda and svang. See also List of boroughs in Trondheim prior to 2005 References External links Map of the boroughs of Trondheim CategoryGeography of Trondheim
545,545,"How was Perdigon, the troubadour from Lespéron, regarded by his contemporaries?","Perdigon was considered a minor troubadour, with limited influence on the overall development of troubadour poetry and music.","Perdigon's works were largely forgotten during his lifetime, only gaining recognition and appreciation long after his death.",Perdigon was known for his controversial views and was often criticized by other troubadours for his unconventional style.,"Perdigon was an enigmatic figure in the troubadour community, with little recognition or mention of his work among his peers.","Perdigon was revered as one of the greatest troubadours of his time, celebrated for his exceptional poetic talents and musical compositions.",E,Pericleitus was a Lesbian lyric musician of the school of Terpander flourished shortly before Hipponax that is a little earlier than 550 BC. At the Lacedaemonian festival of the Carneia there were musical contests with the cithara in which the Lesbian musicians of Terpanders school had obtained the prize from the time of Terpander himself to that of Pericleitus with whom the glory of the school ceased. References Plut. de Mus. 6. p. 1133 d. CategoryAncient Greek musicians CategoryPeople from ancient Lesbos Category6thcentury BC Greek people
546,546,Which of the following statements accurately describes Luke Thomas Simpson based on the provided Wikipedia excerpt?,"Luke Thomas Simpson is an English professional footballer who plays as a midfielder. He last played for Kidderminster Harriers, and has also played in the Premier League for Accrington Stanley.","Luke Thomas Simpson is an English professional footballer who plays as a goalkeeper. He last played for Kidderminster Harriers, and has also played in the Football League for Accrington Stanley.","Luke Thomas Simpson is a Welsh professional footballer who plays as a defender. He last played for Kidderminster Harriers, and has also played in the Championship League for Accrington Stanley.","Luke Thomas Simpson is an Irish professional footballer who plays as a striker. He last played for Kidderminster Harriers, and has also played in the League Two for Accrington Stanley.","Luke Thomas Simpson is a Scottish professional footballer who plays as a forward. He last played for Kidderminster Harriers, and has also played in the Scottish Premiership for Accrington Stanley.",B,Thomas W. Tom Simpson is a scholar teacher and writer in the fields of religion human rights and social justice. Born in 1975 in Olean New York he earned his bachelors degree in religious studies and classics from the University of Virginia his Master of Theological Studies degree from Emory University and his Ph.D. in religious studies specializing in European and American religious history from the University of Virginia. He currently teaches seminars on human rights the Holocaust Islam religion and global feminism existentialist literature and philosophy religion and popular culture and U.S. religious history at Phillips Exeter Academy. Simpsons first book American Universities and the Birth of Modern Mormonism 18671940 won the Mormon History Associations Best Book Award. A nonMormon Simpson studies religious diversity conflict and coexistence in the U.S. and abroad. J. Spencer Fluhman called Simpsons book an elegant original contribution and a mustread for anyone interested in American religion and the life of the mind. Simpsons other published writings focus on the religious political and cultural landscapes of postwar Bosnia and
547,547,"In which year was The Land of Mist, a novel by Arthur Conan Doyle, published?",1926,1903,1910,1935,1891,A,The Land of Mist is a novel by British writer Arthur Conan Doyle published in 1926. Although this is a Professor Challenger story it centres more on his daughter Enid and his old friend Edward Malone. Another friend from the 1912 novel The Lost World Lord John Roxton is also involved in the novels second half. Professor Summerlee who has died of old age around this time is referred to by the mediums much to the anger of Professor Challenger. Plot Reporter Ned Malone who was one of the main characters in Arthur Conan Doyles The Lost World returns in this novel in which he and Professor Challengers daughter Enid are assigned to cover the current spiritualist phenomenon. They discover there really is something to a seance and they try to convince Challenger to get interested in their investigations. Spiritualism Heavily influenced by Doyles growing belief in Spiritualism after the death of his son brother and two nephews in World War I the book focuses on Edward Malones at first professional and later personal interest in Spiritualism. There is a suggestion in chapter two that the deaths of ten million young men in World War I was punishment by the
548,548,"What is the significance of the album ""Vocobeat"" by Rockapella?",Vocobeat is the first album in history to be entirely produced using vocal percussion.,Vocobeat is the only album by Rockapella to include original songs.,"Vocobeat is the first album to feature the phrase ""All sounds on this album were produced exclusively by the voices and body parts of Rockapella"" on the CD insert.",Vocobeat marks the departure of the group's previous vocal percussionist and the introduction of Jeff Thacher.,Vocobeat is the fourth studio album by Rockapella.,C,Vocobeat is the fourth studio album by the a cappella group Rockapella. It is their first all original album and marks the first fulltime CD debut of Jeff Thacher as the groups vocal percussionist. This album is also the first to include the phrase All sounds on this album were produced exclusively by the voices and body parts of Rockapella on the CD insert. Track listing Personnel Scott Leonard  high tenor Sean Altman  tenor Elliot Kerman  baritone Barry Carl  bass Jeff Thacher  vocal percussion Special appearances Jaci Carl  Fat Jack  Bonefish Joe Lisa Leonard  U beat me up Jesse Leonard  NYC Summa Category1990 albums CategoryRockapella albums
549,549,What is the capital city of the Community of Madrid?,Madrid,Valencia,Zaragoza,Seville,Barcelona,A,The Community of Madrid   is one of the seventeen autonomous communities of Spain. It is located in the centre of the Iberian Peninsula and of the Central Plateau . Its capital and largest municipality is the City of Madrid which is also the capital of the country. The Community of Madrid is bounded to the south and east by CastillaLa Mancha and to the north and west by Castile and Len. It was formally created in 1983 based on the limits of the province of Madrid which was until then conventionally included in the historical region of New Castile. The Community of Madrid is the third most populous in Spain with 6825005 2022 inhabitants mostly concentrated in the metropolitan area of Madrid. It is also the most densely populated autonomous community. In absolute terms Madrids economy has been since 2018 slightly bigger in size than that of Catalonia. Madrid has the highest GDP per capita in the country.PIB por Comunidad Autnoma. Expansion.com. Accessed 31 Julio 2016 It contains three World Heritage Sites the Monastery and Royal Site of El Escorial the University and historic centre of Alcal de Henares and the cultural landscape of Aranjuez. In addition the is
550,550,What is the population of Akono in Cameroon?,"Akono is a densely populated town with a population of approximately 250,000 people.","Akono is a moderately populated town with a population of approximately 20,000 people.","Akono is an uninhabited town, having no human population.",Akono is a sparsely populated town with a population of approximately 500 people.,Akono is a rapidly growing town with a population that has exceeded one million people.,B,censuses during the countrys first 44 years as an independent country in 1976 and again in 1987. Results from the second head count were never published. A third census expected to take years to produce results began on November 11 2005 with a threeweek interviewing phase. It is one of a series of projects and reforms required by the International Monetary Fund as prerequisites for foreign debt relief. The first results were published in 2010.Cameroon  Third General Census of Population and Housing 2005  IPUMS Subset download first findings Rapport de presentation des rsultats dfinitifs  pdf thumb260pxA Tikar family in the Northwest Province Population According to the total population was in  compared to only 4 466 000 in 1950. The proportion of children below the age of 15 in 2010 was 40.6 55.9 was between 15 and 65 years of age while 3.5 was 65 years or older. Total population Population aged 014  Population aged 1564  Population aged 65  1950 4 466 000 39.6 56.9 3.5 1955 4 901 000 40.1 56.4 3.5 1960 5 409 000 40.6 55.9 3.6 1965 6 049 000 41.5 54.9 3.6 1970 6 842 000 42.4 54.0 3.6 1975 7 838 000 43.6 52.7 3.7 1980 9 110 000 44.6 51.8 3.6
551,551,"In the context of wine production, what is the significance of the Muscat Ottonel grape variety?",Muscat Ottonel is recognized as a main grape variety in the production of dry wines in Serbia.,Muscat Ottonel is exclusively used in the production of dessert wines in Austria.,"Muscat Ottonel is utilized in the production of dessert wines across various countries, and also in dry wines from Alsace and Hungary.",Muscat Ottonel is a key component in the popular wines of Moldova and Croatia.,Muscat Ottonel is primarily used for red wine production in Hungary.,C,Muscat Ottonel or MuskatOttonel in Germany is a white wine grape variety that is a member of the Muscat family of Vitis vinifera.J. Robinson J. Harding and J. Vouillamoz Wine Grapes  A complete guide to 1368 vine varieties including their origins and flavours pg 694695 Allen Lane 2012 It is most notable for its use in dessert wines from Austria Bulgaria Romania Moldova Croatia and Serbia as well as dry wines from Alsace and Hungary. In AlsaceAccording to French regulations as of 2011 this variety may only be planted in BasRhin and HautRhin. the varietal designation Muscat dAlsace is allowed for the varieties Muscat Ottonel Muscat blanc  petit grains and Muscat rose  petit grains blended in any combination or not but not for other members of the Muscat family and blends between these are not allowed for most Alsace Grands Crus. First cultivated in Alsace by the Loire grower MoreauRobert in 1852 Muscat Ottonel is believed to be a cross of Chasselas with Muscat de Saumur which was originally given as Muscat dEisenstadt.J. Robinson Vines Grapes  Wines pg 187 Mitchell Beazley 1986  Synonyms  Over the years Muscat Ottonel has been known under a
552,552,"What is notable about Thy Serpent's album ""Death""?","""Death"" is regarded as Thy Serpent's most experimental album/EP.","""Death"" is the first album/EP released by Thy Serpent featuring their current lineup.","""Death"" is the last album/EP released by Thy Serpent before they disbanded.","""Death"" was recorded at the same studio as Thy Serpent's three previous albums/EPs.","""Death"" is the fifth officially released album/EP by Finnish black metal band Thy Serpent.",B,With Serpents Scourge is the second studio album by French death metal band Necrowretch. The album was released on February 16 2015. On January 13 2015 the album details were revealed. The album was released on CD vinyl and digital download. The track Feast Off Their Doom was also streamed on SoundCloud. Track listing Personnel Necrowretch  Vlad  vocals guitar  Amphycion  bass guitar  Ilmar Marti Uibo  drums Miscellaneous staff  Milan Novakovi  artwork  Patrick W. Engel  mastering  Kaos  layout additional lyrics  Skull Crusher  additional lyrics References Category2015 albums CategoryNecrowretch albums CategoryCentury Media Records albums
553,553,What are the three organizations that make up the UL enterprise?,"UL Certification Programs, UL Testing Laboratories, and UL Compliance Services","UL Research Institutes, UL Standards & Engagement, and UL Solutions","UL Safety Assurance, UL Technical Services, and UL Manufacturing","UL Product Development, UL Quality Management, and UL Operational Support","UL Knowledge Solutions, UL Regulatory Affairs, and UL Market Access",B,The UL enterprise is a global safety science company headquartered in Northbrook Illinois composed of three organizations UL Research Institutes UL Standards  Engagement and UL Solutions. Established in 1894 the UL enterprise was founded as the Underwriters Electrical Bureau a bureau of the National Board of Fire Underwriters and was known throughout the 20th century as Underwriters Laboratories. On January 1 2012 Underwriters Laboratories became the parent company of a forprofit company in the U.S. named UL LLC a limited liability corporation which took over the product testing and certification business. On June 26 2022 the companies rebranded into three distinct organizations that make up the UL enterprise. The company is one of several companies approved to perform safety testing by the U.S. federal agency Occupational Safety and Health Administration OSHA. OSHA maintains a list of approved testing laboratories which are known as Nationally Recognized Testing Laboratories. According to Lifehacker UL Solutions is the best known product safety and certification organization globally.  History  Underwriters Laboratories Inc. was founded in 1894 by William
554,554,What is the significance of Armored Trooper VOTOMS in the mecha anime subgenre?,"Armored Trooper VOTOMS marked the decline of the mecha anime subgenre, as it failed to attract a substantial audience.","Armored Trooper VOTOMS continued the trend towards hard science in the mecha anime subgenre, as established by its creator, Ryosuke Takahashi.",Armored Trooper VOTOMS is the first mecha anime series to incorporate fantastical elements alongside the traditional science-based themes.,"Armored Trooper VOTOMS is considered a spin-off of the popular mecha anime series, Fang of the Sun Dougram.",Armored Trooper VOTOMS introduced a new art style that revolutionized the mecha anime subgenre.,B,is a 52episode anime television series created by Ryosuke Takahashi and Sunrise featuring mechanical designs by Kunio Okawara. The series originally aired in Japan from April 1 1983 to March 23 1984 on TV Tokyo. Armored Trooper Votoms No. Title Director Original release date Armor Hunter Mellowlink No. Title Original release date References Armored Trooper Votoms
555,555,What kind of rock walls are found on the higher slopes of Maja e Thatë mountain?,Granite,Basalt,Sandstone,Schist,Dolomite and limestone,E,steep rocky faces which start directly from the trough surface. The summit is a sharp ridge and its crest has jagged edges. Horizontal monoclines are visible through all the mountains northern rocky face giving it an imposing appearance. Maja e That can be seen quite impressively from the highest peaks of Grykat e Hapta  Zhaborre mountain range running in southwestnortheast direction south of the villages Rragam and Valbon as well as from Maja e Rosit. Geology The whole territory of Albania lies on the assemblage of geological structures called Albanides which are part of the Alpine orogenic belt. Albanian Alps are included in the External Albanides and form the Alps Zone consisting of limestone monoclines combined with smaller anticlines. Carbonate rocks are the constituents of Kolata massif and Maja e That as a part of this massif is entirely composed of Triassic dolomite and limestone formations. On the northern rocky face of Maja e That mountain monoclines are clearly visible from the level of the trough of Rupa up to the very summit. Ice and frosts erosive activity and the periglacial environment on the surface of Kolata massif have led to
556,556,What was the purpose of the National Congress in Belgium in 1830?,The purpose of the National Congress was to establish a new national anthem for Belgium.,The purpose of the National Congress was to reunite Belgium with the Netherlands.,The purpose of the National Congress was to negotiate trade agreements with neighboring countries.,The purpose of the National Congress was to devise a national constitution for the new state.,The purpose of the National Congress was to elect a new monarch for Belgium.,D,The Sovereign Congress   was the legislative assembly created on 11 January 1790 by the Treaty of Union which established the United Belgian States. Its primary task was to manage the sovereignty of the independent territories of the United States of Belgium during the Brabant Revolution. Presidents of the Sovereign Congress  Franois de Nlis Bishop of Antwerp 11 January 1790  8 November 1790  Hendrik van Crumpipen 8 November 1790  2 December 1790 See also  National Congress of Belgium External links  Rulers of Belgium  Text of the Treaty of Union  Text of the Treaty of Union CategoryUnited Belgian States CategoryHistorical legislatures in Belgium
557,557,What was Johann Froben's main contribution to the book trade in Basel?,"Johann Froben was a prominent patron of the arts in Basel, particularly supporting the works of Hans Holbein the Younger.","Johann Froben was a famous printer and publisher in Basel, known for his exceptional bookbinding techniques.",Johann Froben transformed Basel into one of the world's most important hubs of the book trade through his printing business.,Johann Froben was a close friend of Erasmus and helped him establish a renowned printing press in Basel.,"Johann Froben was a leading Renaissance humanist in Basel, known for his scholarly contributions to literature and philosophy.",C,Johann Froben in Latin Johannes Frobenius and combinations c. 1460  27 October 1527 was a famous printer publisher and learned Renaissance humanist in Basel. He was a close friend of Erasmus and cooperated closely with Hans Holbein the Younger. He made Basel one of the worlds leading centres of the book trade. He passed his printing business on to his son Hieronymus and grandson Ambrosius Frobenius. Early life and printing partnership Johann Froben was born in Hammelburg Franconia and appears the first time at the workshop of the printer of Anton Koberger of Nuremberg in 1486. He moved to Basel in the 1480s. He graduated from the University in Basel where he made the acquaintance of the famous printer Johann Amerbach c. 1440  1513. Froben established himself as a printer in that city about 1491 when he published the first manageable bible in the octavo format. He soon attained a European reputation for accuracy and taste. In 1500 he married the daughter of the bookseller Wolfgang Lachner who entered into a partnership with him. It was part of Frobens plan to print editions of the Greek Fathers. In 1492 he printed Johann Heynlins Resolutorum Dubiuosum. For
558,558,What distinguishes Genoplesium nigricans from Corunastylis tepperi according to Australian authorities?,"Genoplesium nigricans only occurs on Kangaroo Island and the Eyre Peninsula, while Corunastylis tepperi is a widespread species.","Genoplesium nigricans has a single leaf surrounding the stem, while Corunastylis tepperi has multiple leaves.","Genoplesium nigricans emits a fruity fragrance, while Corunastylis tepperi has no noticeable scent.","Genoplesium nigricans has up to 50 greenish flowers, while Corunastylis tepperi has fewer, larger flowers.","Genoplesium nigricans has deep maroon-colored labellum, while Corunastylis tepperi has a yellow labellum.",A,Genoplesium cornutum known as Corunastylis cornuta in Australia is a small terrestrial orchid endemic to the Australian Capital Territory and nearby parts of New South Wales. It was first formally described in 2008 by David Jones who gave it the name Corunastylis cornuta from a specimen collected from the Black Mountain Reserve and the description was published in The Orchadian. In 2014 Julian Shaw changed the name to Genoplesium cornutum. The specific epithet cornutum is a Latin word meaning bearing horns. References External links   cornutum CategoryEndemic orchids of Australia CategoryOrchids of the Australian Capital Territory CategoryOrchids of New South Wales CategoryPlants described in 2008
